close,price_change,percent_change,high,low,open,previous_close,timestamp,SMA_20,SMA_50,EMA_20,EMA_50,volatility,RSI

94155.76,-477.16999999999825,-0.5042325118750929,95450.1,93711.19,94632.93,94632.93,2025-01-11 23:22:43,,,94155.76,94155.76,,
94134.13,-498.79999999998836,-0.5270892489538138,95450.1,93711.19,94632.93,94632.94,2025-01-11 23:23:02,,,94134.13,94134.13,,
94114.71,-518.2199999999866,-0.5476106467378603,95450.1,93711.19,94632.93,94632.93,2025-01-11 23:23:21,,,94114.71,94114.71,,
94181.81,-463.6999999999971,-0.4899334368846415,95450.1,93711.19,94645.51,94645.52,2025-01-11 23:23:39,,,94181.81,94181.81,,
94198.04,-460.74000000000524,-0.4867377331505912,95450.1,93711.19,94658.78,94658.79,2025-01-11 23:23:59,,,94198.04,94198.04,,
94199.23,-497.74000000000524,-0.5256134383180425,95450.1,93711.19,94696.97,94696.97,2025-01-11 23:24:18,,,94199.23,94199.23,,
94185.12,-519.8700000000099,-0.5489362281755269,95450.1,93711.19,94704.99,94704.99,2025-01-11 23:24:55,,,94185.12,94185.12,,
94185.12,-519.8700000000099,-0.5489362281755269,95450.1,93711.19,94704.99,94704.99,2025-01-11 23:24:55,,,94185.12,94185.12,,
94185.12,-519.8700000000099,-0.5489362281755269,95450.1,93711.19,94704.99,94704.99,2025-01-11 23:24:55,,,94185.12,94185.12,,
94185.12,-519.8700000000099,-0.5489362281755269,95450.1,93711.19,94704.99,94704.99,2025-01-11 23:24:55,,,94185.12,94185.12,,
94185.12,-519.8700000000099,-0.5489362281755269,95450.1,93711.19,94704.99,94704.99,2025-01-11 23:24:55,,,94185.12,94185.12,,
94185.12,-519.8700000000099,-0.5489362281755269,95450.1,93711.19,94704.99,94704.99,2025-01-11 23:24:55,,,94185.12,94185.12,,
94185,-515.0099999999948,-0.543833099912022,95450.1,93711.19,94700.01,94700,2025-01-11 23:25:15,,,94185.0,94185.0,,
94185,-515.0099999999948,-0.543833099912022,95450.1,93711.19,94700.01,94700,2025-01-11 23:25:15,,,94185.0,94185.0,,
94185,-515.0099999999948,-0.543833099912022,95450.1,93711.19,94700.01,94700,2025-01-11 23:25:15,,,94185.0,94185.0,,
94185,-515.0099999999948,-0.543833099912022,95450.1,93711.19,94700.01,94700,2025-01-11 23:25:15,,,94185.0,94185.0,,
